GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Season,year
Shot Chart Detail,0021200008,10,203076,Anthony Davis,1610612740,New Orleans Hornets,1,10,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-175,1,1,1,20121031,NOH,SAS,Regular,1
Shot Chart Detail,0021200008,13,203076,Anthony Davis,1610612740,New Orleans Hornets,1,9,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,136,91,1,1,20121031,NOH,SAS,Regular,1
Shot Chart Detail,0021200008,29,203076,Anthony Davis,1610612740,New Orleans Hornets,1,8,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,6,208,1,0,20121031,NOH,SAS,Regular,1
Shot Chart Detail,0021200008,65,203076,Anthony Davis,1610612740,New Orleans Hornets,1,4,20,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,1,42,1,0,20121031,NOH,SAS,Regular,1
Shot Chart Detail,0021200008,66,203076,Anthony Davis,1610612740,New Orleans Hornets,1,4,20,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,7,1,1,20121031,NOH,SAS,Regular,1
Shot Chart Detail,0021200008,158,203076,Anthony Davis,1610612740,New Orleans Hornets,2,8,50,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,58,9,1,1,20121031,NOH,SAS,Regular,1
Shot Chart Detail,0021200008,250,203076,Anthony Davis,1610612740,New Orleans Hornets,2,0,40,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,58,52,1,0,20121031,NOH,SAS,Regular,1
Shot Chart Detail,0021200008,257,203076,Anthony Davis,1610612740,New Orleans Hornets,2,0,13,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-73,7,1,1,20121031,NOH,SAS,Regular,1
Shot Chart Detail,0021200008,272,203076,Anthony Davis,1610612740,New Orleans Hornets,3,10,54,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,0,56,1,0,20121031,NOH,SAS,Regular,1
Shot Chart Detail,0021200008,306,203076,Anthony Davis,1610612740,New Orleans Hornets,3,7,48,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,15,1,0,20121031,NOH,SAS,Regular,1
